"X","Idade","Sexo","Profissao","Moradia","Conta_Poupanca","Conta_Corrente","Valor_do_Credito","Duracao","Motivo","Risco"
0,67,"Masculino","Qualificado","Própria","Sem Conta Poupança","Conta Corrente Básica",1169,6,"radio/TV","Crédito Bom"
1,22,"Feminino","Qualificado","Própria","Conta de Poupança Pequena","Conta Corrente Moderada",5951,48,"radio/TV","Crédito Ruim"
2,49,"Masculino","Não qualificado e residente","Própria","Conta de Poupança Pequena","Sem Conta Corrente",2096,12,"Educação","Crédito Bom"
3,45,"Masculino","Qualificado","Cedida","Conta de Poupança Pequena","Conta Corrente Básica",7882,42,"Móveis/Equipamentos","Crédito Bom"
4,53,"Masculino","Qualificado","Cedida","Conta de Poupança Pequena","Conta Corrente Básica",4870,24,"Carro","Crédito Ruim"
5,35,"Masculino","Não qualificado e residente","Cedida","Sem Conta Poupança","Sem Conta Corrente",9055,36,"Educação","Crédito Bom"
6,53,"Masculino","Qualificado","Própria","Conta de Poupança Substancial","Sem Conta Corrente",2835,24,"Móveis/Equipamentos","Crédito Bom"
7,35,"Masculino","Altamente qualificado","Alugada","Conta de Poupança Pequena","Conta Corrente Moderada",6948,36,"Carro","Crédito Bom"
8,61,"Masculino","Não qualificado e residente","Própria","Conta de Poupança Rica","Sem Conta Corrente",3059,12,"radio/TV","Crédito Bom"
9,28,"Masculino","Altamente qualificado","Própria","Conta de Poupança Pequena","Conta Corrente Moderada",5234,30,"Carro","Crédito Ruim"
10,25,"Feminino","Qualificado","Alugada","Conta de Poupança Pequena","Conta Corrente Moderada",1295,12,"Carro","Crédito Ruim"
11,24,"Feminino","Qualificado","Alugada","Conta de Poupança Pequena","Conta Corrente Básica",4308,48,"Negócios/Empreender","Crédito Ruim"
12,22,"Feminino","Qualificado","Própria","Conta de Poupança Pequena","Conta Corrente Moderada",1567,12,"radio/TV","Crédito Bom"
13,60,"Masculino","Não qualificado e residente","Própria","Conta de Poupança Pequena","Conta Corrente Básica",1199,24,"Carro","Crédito Ruim"
14,28,"Feminino","Qualificado","Alugada","Conta de Poupança Pequena","Conta Corrente Básica",1403,15,"Carro","Crédito Bom"
15,32,"Feminino","Não qualificado e residente","Própria","Conta de Poupança Moderada","Conta Corrente Básica",1282,24,"radio/TV","Crédito Ruim"
16,53,"Masculino","Qualificado","Própria","Sem Conta Poupança","Sem Conta Corrente",2424,24,"radio/TV","Crédito Bom"
17,25,"Masculino","Qualificado","Própria","Sem Conta Poupança","Conta Corrente Básica",8072,30,"Negócios/Empreender","Crédito Bom"
18,44,"Feminino","Altamente qualificado","Cedida","Conta de Poupança Pequena","Conta Corrente Moderada",12579,24,"Carro","Crédito Ruim"
19,31,"Masculino","Qualificado","Própria","Conta de Poupança Substancial","Sem Conta Corrente",3430,24,"radio/TV","Crédito Bom"
20,48,"Masculino","Qualificado","Própria","Conta de Poupança Pequena","Sem Conta Corrente",2134,9,"Carro","Crédito Bom"
21,44,"Masculino","Qualificado","Alugada","Conta de Poupança Substancial","Conta Corrente Básica",2647,6,"radio/TV","Crédito Bom"
22,48,"Masculino","Não qualificado e residente","Alugada","Conta de Poupança Pequena","Conta Corrente Básica",2241,10,"Carro","Crédito Bom"
23,44,"Masculino","Qualificado","Própria","Conta de Poupança Moderada","Conta Corrente Moderada",1804,12,"Carro","Crédito Bom"
24,26,"Masculino","Qualificado","Própria","Sem Conta Poupança","Sem Conta Corrente",2069,10,"Móveis/Equipamentos","Crédito Bom"
25,36,"Masculino","Não qualificado e residente","Própria","Conta de Poupança Pequena","Conta Corrente Básica",1374,6,"Móveis/Equipamentos","Crédito Bom"
26,39,"Masculino","Não qualificado e residente","Própria","Conta de Poupança Pequena","Sem Conta Corrente",426,6,"radio/TV","Crédito Bom"
27,42,"Feminino","Qualificado","Alugada","Conta de Poupança Rica","Conta Corrente de Alto Padrão",409,12,"radio/TV","Crédito Bom"
28,34,"Masculino","Qualificado","Própria","Conta de Poupança Pequena","Conta Corrente Moderada",2415,7,"radio/TV","Crédito Bom"
29,63,"Masculino","Qualificado","Própria","Conta de Poupança Pequena","Conta Corrente Básica",6836,60,"Negócios/Empreender","Crédito Ruim"
30,36,"Masculino","Qualificado","Própria","Conta de Poupança Rica","Conta Corrente Moderada",1913,18,"Negócios/Empreender","Crédito Bom"
31,27,"Masculino","Qualificado","Própria","Conta de Poupança Pequena","Conta Corrente Básica",4020,24,"Móveis/Equipamentos","Crédito Bom"
32,30,"Masculino","Qualificado","Própria","Conta de Poupança Moderada","Conta Corrente Moderada",5866,18,"Carro","Crédito Bom"
33,57,"Masculino","Não qualificado e residente","Alugada","Sem Conta Poupança","Sem Conta Corrente",1264,12,"Negócios/Empreender","Crédito Bom"
34,33,"Feminino","Altamente qualificado","Própria","Conta de Poupança Pequena","Conta Corrente de Alto Padrão",1474,12,"Móveis/Equipamentos","Crédito Bom"
35,25,"Masculino","Não qualificado e residente","Própria","Conta de Poupança Pequena","Conta Corrente Moderada",4746,45,"radio/TV","Crédito Ruim"
36,31,"Masculino","Qualificado","Cedida","Conta de Poupança Pequena","Sem Conta Corrente",6110,48,"Educação","Crédito Bom"
37,37,"Masculino","Qualificado","Própria","Conta de Poupança Pequena","Conta Corrente de Alto Padrão",2100,18,"radio/TV","Crédito Ruim"
38,37,"Masculino","Qualificado","Própria","Conta de Poupança Pequena","Conta Corrente de Alto Padrão",1225,10,"domestic appliances","Crédito Bom"
39,24,"Masculino","Qualificado","Própria","Conta de Poupança Pequena","Conta Corrente Moderada",458,9,"radio/TV","Crédito Bom"
40,30,"Masculino","Altamente qualificado","Própria","Conta de Poupança Substancial","Sem Conta Corrente",2333,30,"radio/TV","Crédito Bom"
41,26,"Masculino","Qualificado","Própria","Conta de Poupança Substancial","Conta Corrente Moderada",1158,12,"radio/TV","Crédito Bom"
42,44,"Masculino","Não qualificado e residente","Própria","Conta de Poupança Pequena","Conta Corrente Moderada",6204,18,"Reparos","Crédito Bom"
43,24,"Masculino","Qualificado","Alugada","Conta de Poupança Moderada","Conta Corrente Básica",6187,30,"Carro","Crédito Bom"
44,58,"Feminino","Não qualificado e residente","Cedida","Conta de Poupança Pequena","Conta Corrente Básica",6143,48,"Carro","Crédito Ruim"
45,35,"Feminino","Altamente qualificado","Própria","Conta de Poupança Pequena","Sem Conta Corrente",1393,11,"Carro","Crédito Bom"
46,39,"Masculino","Qualificado","Própria","Conta de Poupança Substancial","Sem Conta Corrente",2299,36,"radio/TV","Crédito Bom"
47,23,"Feminino","Não qualificado e não residente","Alugada","Conta de Poupança Substancial","Conta Corrente Básica",1352,6,"Carro","Crédito Bom"
48,39,"Masculino","Não qualificado e residente","Própria","Conta de Poupança Pequena","Sem Conta Corrente",7228,11,"Carro","Crédito Bom"
49,28,"Feminino","Qualificado","Própria","Conta de Poupança Moderada","Sem Conta Corrente",2073,12,"radio/TV","Crédito Bom"
50,29,"Masculino","Não qualificado e residente","Própria","Sem Conta Poupança","Conta Corrente Moderada",2333,24,"Móveis/Equipamentos","Crédito Bom"
51,30,"Masculino","Altamente qualificado","Própria","Conta de Poupança Pequena","Conta Corrente Moderada",5965,27,"Carro","Crédito Bom"
52,25,"Masculino","Qualificado","Própria","Conta de Poupança Pequena","Sem Conta Corrente",1262,12,"radio/TV","Crédito Bom"
53,31,"Masculino","Qualificado","Própria","Sem Conta Poupança","Sem Conta Corrente",3378,18,"Carro","Crédito Bom"
54,57,"Masculino","Qualificado","Cedida","Conta de Poupança Pequena","Conta Corrente Moderada",2225,36,"Carro","Crédito Ruim"
55,26,"Masculino","Não qualificado e residente","Própria","Sem Conta Poupança","Sem Conta Corrente",783,6,"Carro","Crédito Bom"
56,52,"Masculino","Altamente qualificado","Própria","Sem Conta Poupança","Conta Corrente Moderada",6468,12,"radio/TV","Crédito Ruim"
57,31,"Feminino","Qualificado","Própria","Conta de Poupança Pequena","Sem Conta Corrente",9566,36,"radio/TV","Crédito Bom"
58,23,"Feminino","Altamente qualificado","Própria","Conta de Poupança Pequena","Conta Corrente de Alto Padrão",1961,18,"Carro","Crédito Bom"
59,23,"Feminino","Não qualificado e residente","Alugada","Conta de Poupança Pequena","Conta Corrente Básica",6229,36,"Móveis/Equipamentos","Crédito Ruim"
60,27,"Masculino","Qualificado","Própria","Conta de Poupança Pequena","Conta Corrente Moderada",1391,9,"Negócios/Empreender","Crédito Bom"
61,50,"Masculino","Qualificado","Própria","Sem Conta Poupança","Conta Corrente Moderada",1537,15,"radio/TV","Crédito Bom"
62,61,"Masculino","Altamente qualificado","Cedida","Conta de Poupança Pequena","Conta Corrente Moderada",1953,36,"Negócios/Empreender","Crédito Ruim"
63,25,"Masculino","Qualificado","Própria","Conta de Poupança Pequena","Conta Corrente Moderada",14421,48,"Negócios/Empreender","Crédito Ruim"
64,26,"Feminino","Qualificado","Própria","Conta de Poupança Pequena","Sem Conta Corrente",3181,24,"radio/TV","Crédito Bom"
65,48,"Masculino","Qualificado","Própria","Sem Conta Poupança","Sem Conta Corrente",5190,27,"Reparos","Crédito Bom"
66,29,"Feminino","Qualificado","Própria","Conta de Poupança Pequena","Sem Conta Corrente",2171,12,"radio/TV","Crédito Bom"
67,22,"Masculino","Qualificado","Própria","Conta de Poupança Rica","Conta Corrente Moderada",1007,12,"Carro","Crédito Bom"
68,37,"Masculino","Qualificado","Cedida","Conta de Poupança Pequena","Sem Conta Corrente",1819,36,"Educação","Crédito Ruim"
69,25,"Feminino","Qualificado","Própria","Sem Conta Poupança","Sem Conta Corrente",2394,36,"radio/TV","Crédito Bom"
70,30,"Feminino","Qualificado","Própria","Conta de Poupança Pequena","Sem Conta Corrente",8133,36,"Carro","Crédito Bom"
71,46,"Masculino","Não qualificado e residente","Alugada","Sem Conta Poupança","Sem Conta Corrente",730,7,"radio/TV","Crédito Bom"
72,51,"Masculino","Altamente qualificado","Cedida","Conta de Poupança Pequena","Conta Corrente Básica",1164,8,"Férias/Outros","Crédito Bom"
73,41,"Feminino","Não qualificado e residente","Própria","Conta de Poupança Pequena","Conta Corrente Moderada",5954,42,"Negócios/Empreender","Crédito Bom"
74,40,"Masculino","Altamente qualificado","Própria","Sem Conta Poupança","Conta Corrente Básica",1977,36,"Educação","Crédito Ruim"
75,66,"Masculino","Altamente qualificado","Cedida","Conta de Poupança Pequena","Conta Corrente Básica",1526,12,"Carro","Crédito Bom"
76,34,"Masculino","Qualificado","Própria","Conta de Poupança Pequena","Conta Corrente Básica",3965,42,"radio/TV","Crédito Ruim"
77,51,"Masculino","Qualificado","Própria","Conta de Poupança Pequena","Conta Corrente Moderada",4771,11,"radio/TV","Crédito Bom"
78,39,"Masculino","Não qualificado e residente","Própria","Sem Conta Poupança","Sem Conta Corrente",9436,54,"Carro","Crédito Bom"
79,22,"Masculino","Qualificado","Própria","Conta de Poupança Pequena","Conta Corrente Moderada",3832,30,"Móveis/Equipamentos","Crédito Bom"
80,44,"Feminino","Qualificado","Própria","Sem Conta Poupança","Sem Conta Corrente",5943,24,"radio/TV","Crédito Ruim"
81,47,"Masculino","Qualificado","Própria","Conta de Poupança Substancial","Sem Conta Corrente",1213,15,"radio/TV","Crédito Bom"
82,24,"Feminino","Não qualificado e residente","Alugada","Conta de Poupança Moderada","Sem Conta Corrente",1568,18,"Negócios/Empreender","Crédito Bom"
83,58,"Feminino","Não qualificado e residente","Própria","Conta de Poupança Pequena","Conta Corrente Básica",1755,24,"Férias/Outros","Crédito Bom"
84,52,"Masculino","Não qualificado e residente","Própria","Conta de Poupança Pequena","Conta Corrente Básica",2315,10,"radio/TV","Crédito Bom"
85,29,"Feminino","Altamente qualificado","Própria","Conta de Poupança Pequena","Sem Conta Corrente",1412,12,"Negócios/Empreender","Crédito Bom"
86,27,"Feminino","Qualificado","Própria","Conta de Poupança Pequena","Conta Corrente Moderada",1295,18,"Móveis/Equipamentos","Crédito Bom"
87,47,"Masculino","Qualificado","Cedida","Conta de Poupança Moderada","Conta Corrente Moderada",12612,36,"Educação","Crédito Ruim"
88,30,"Masculino","Altamente qualificado","Própria","Conta de Poupança Moderada","Conta Corrente Básica",2249,18,"Carro","Crédito Bom"
89,28,"Masculino","Qualificado","Própria","Conta de Poupança Pequena","Conta Corrente Básica",1108,12,"Reparos","Crédito Ruim"
90,56,"Masculino","Qualificado","Própria","Conta de Poupança Pequena","Sem Conta Corrente",618,12,"radio/TV","Crédito Bom"
91,54,"Masculino","Qualificado","Própria","Conta de Poupança Pequena","Conta Corrente Básica",1409,12,"Carro","Crédito Bom"
92,33,"Feminino","Não qualificado e residente","Própria","Sem Conta Poupança","Sem Conta Corrente",797,12,"radio/TV","Crédito Ruim"
93,20,"Masculino","Qualificado","Alugada","Sem Conta Poupança","Conta Corrente de Alto Padrão",3617,24,"Móveis/Equipamentos","Crédito Bom"
94,54,"Masculino","Qualificado","Própria","Conta de Poupança Rica","Conta Corrente Moderada",1318,12,"Carro","Crédito Bom"
95,58,"Masculino","Qualificado","Alugada","Conta de Poupança Pequena","Conta Corrente Moderada",15945,54,"Negócios/Empreender","Crédito Ruim"
96,61,"Feminino","Qualificado","Própria","Sem Conta Poupança","Sem Conta Corrente",2012,12,"Educação","Crédito Bom"
97,34,"Masculino","Qualificado","Própria","Conta de Poupança Moderada","Conta Corrente Moderada",2622,18,"Negócios/Empreender","Crédito Bom"
98,36,"Masculino","Qualificado","Própria","Conta de Poupança Pequena","Conta Corrente Moderada",2337,36,"radio/TV","Crédito Bom"
99,36,"Masculino","Altamente qualificado","Alugada","Sem Conta Poupança","Conta Corrente Moderada",7057,20,"Carro","Crédito Bom"
100,41,"Masculino","Não qualificado e residente","Alugada","Conta de Poupança Moderada","Sem Conta Corrente",1469,24,"Carro","Crédito Bom"
101,24,"Masculino","Qualificado","Alugada","Conta de Poupança Pequena","Conta Corrente Moderada",2323,36,"radio/TV","Crédito Bom"
102,24,"Feminino","Qualificado","Própria","Conta de Poupança Pequena","Sem Conta Corrente",932,6,"radio/TV","Crédito Bom"
103,35,"Masculino","Qualificado","Alugada","Conta de Poupança Pequena","Conta Corrente Moderada",1919,9,"Móveis/Equipamentos","Crédito Bom"
104,26,"Masculino","Qualificado","Alugada","Sem Conta Poupança","Sem Conta Corrente",2445,12,"Carro","Crédito Bom"
105,39,"Masculino","Altamente qualificado","Própria","Conta de Poupança Pequena","Conta Corrente Moderada",11938,24,"Férias/Outros","Crédito Ruim"
106,39,"Masculino","Altamente qualificado","Própria","Conta de Poupança Pequena","Sem Conta Corrente",6458,18,"Carro","Crédito Ruim"
107,32,"Masculino","Qualificado","Própria","Conta de Poupança Pequena","Conta Corrente Moderada",6078,12,"Carro","Crédito Bom"
108,30,"Feminino","Qualificado","Própria","Sem Conta Poupança","Conta Corrente Básica",7721,24,"Móveis/Equipamentos","Crédito Bom"
109,35,"Masculino","Qualificado","Própria","Conta de Poupança Substancial","Conta Corrente Moderada",1410,14,"Negócios/Empreender","Crédito Bom"
110,31,"Masculino","Qualificado","Própria","Conta de Poupança Moderada","Conta Corrente Moderada",1449,6,"Negócios/Empreender","Crédito Bom"
111,23,"Feminino","Qualificado","Alugada","Conta de Poupança Pequena","Conta Corrente de Alto Padrão",392,15,"Educação","Crédito Bom"
112,28,"Masculino","Não qualificado e residente","Alugada","Conta de Poupança Pequena","Conta Corrente Moderada",6260,18,"Carro","Crédito Bom"
113,25,"Feminino","Qualificado","Própria","Conta de Poupança Pequena","Sem Conta Corrente",7855,36,"Carro","Crédito Ruim"
114,35,"Masculino","Qualificado","Própria","Conta de Poupança Substancial","Conta Corrente Básica",1680,12,"radio/TV","Crédito Bom"
115,47,"Masculino","Qualificado","Própria","Sem Conta Poupança","Sem Conta Corrente",3578,48,"radio/TV","Crédito Bom"
116,30,"Feminino","Altamente qualificado","Própria","Sem Conta Poupança","Conta Corrente Básica",7174,42,"radio/TV","Crédito Ruim"
117,27,"Feminino","Qualificado","Alugada","Sem Conta Poupança","Conta Corrente Básica",2132,10,"Móveis/Equipamentos","Crédito Bom"
118,23,"Feminino","Qualificado","Própria","Conta de Poupança Substancial","Conta Corrente Básica",4281,33,"Móveis/Equipamentos","Crédito Ruim"
119,36,"Masculino","Altamente qualificado","Própria","Conta de Poupança Substancial","Conta Corrente Moderada",2366,12,"Carro","Crédito Bom"
120,25,"Feminino","Qualificado","Própria","Conta de Poupança Pequena","Conta Corrente Básica",1835,21,"radio/TV","Crédito Ruim"
121,41,"Feminino","Altamente qualificado","Alugada","Conta de Poupança Pequena","Sem Conta Corrente",3868,24,"Carro","Crédito Bom"
122,24,"Masculino","Não qualificado e residente","Alugada","Conta de Poupança Pequena","Sem Conta Corrente",1768,12,"Móveis/Equipamentos","Crédito Bom"
123,63,"Masculino","Qualificado","Cedida","Conta de Poupança Pequena","Conta Corrente de Alto Padrão",781,10,"Carro","Crédito Bom"
124,27,"Feminino","Qualificado","Alugada","Sem Conta Poupança","Conta Corrente Moderada",1924,18,"Móveis/Equipamentos","Crédito Ruim"
125,30,"Masculino","Qualificado","Própria","Conta de Poupança Pequena","Conta Corrente Básica",2121,12,"Carro","Crédito Bom"
126,40,"Masculino","Não qualificado e residente","Própria","Conta de Poupança Pequena","Conta Corrente Básica",701,12,"radio/TV","Crédito Bom"
127,30,"Masculino","Qualificado","Própria","Conta de Poupança Pequena","Conta Corrente Moderada",639,12,"Reparos","Crédito Ruim"
