"Age","Sex","Job","Housing","Saving accounts","Checking account","Credit amount","Duration","Purpose","Risk"
67,"Masculino",2,"Própria","Sem recursos declarados","Poucos recursos",1169,6,"radio/TV","Crédito Saudável"
22,"Feminino",2,"Própria","Poucos recursos","Médios recursos",5951,48,"radio/TV","Crédito Saudável"
49,"Masculino",1,"Própria","Poucos recursos","Sem recursos declarados",2096,12,"Educação","Crédito Saudável"
45,"Masculino",2,"Cedida","Poucos recursos","Poucos recursos",7882,42,"Eletroeletrônicos","Crédito Saudável"
53,"Masculino",2,"Cedida","Poucos recursos","Poucos recursos",4870,24,"Carro","Crédito Saudável"
35,"Masculino",1,"Cedida","Sem recursos declarados","Sem recursos declarados",9055,36,"Educação","Crédito Saudável"
53,"Masculino",2,"Própria","Altos recursos","Sem recursos declarados",2835,24,"Eletroeletrônicos","Crédito Saudável"
35,"Masculino",3,"Alugada","Poucos recursos","Médios recursos",6948,36,"Carro","Crédito Saudável"
61,"Masculino",1,"Própria","Altíssimos recursos","Sem recursos declarados",3059,12,"radio/TV","Crédito Saudável"
28,"Masculino",3,"Própria","Poucos recursos","Médios recursos",5234,30,"Carro","Crédito Ruim"
25,"Feminino",2,"Alugada","Poucos recursos","Médios recursos",1295,12,"Carro","Crédito Saudável"
24,"Feminino",2,"Alugada","Poucos recursos","Poucos recursos",4308,48,"Negócios/Empreender","Crédito Saudável"
22,"Feminino",2,"Própria","Poucos recursos","Médios recursos",1567,12,"radio/TV","Crédito Saudável"
60,"Masculino",1,"Própria","Poucos recursos","Poucos recursos",1199,24,"Carro","Crédito Saudável"
28,"Feminino",2,"Alugada","Poucos recursos","Poucos recursos",1403,15,"Carro","Crédito Ruim"
32,"Feminino",1,"Própria","Médios recursos","Poucos recursos",1282,24,"radio/TV","Crédito Ruim"
53,"Masculino",2,"Própria","Sem recursos declarados","Sem recursos declarados",2424,24,"radio/TV","Crédito Saudável"
25,"Masculino",2,"Própria","Sem recursos declarados","Poucos recursos",8072,30,"Negócios/Empreender","Crédito Saudável"
44,"Feminino",3,"Cedida","Poucos recursos","Médios recursos",12579,24,"Carro","Crédito Saudável"
31,"Masculino",2,"Própria","Altos recursos","Sem recursos declarados",3430,24,"radio/TV","Crédito Saudável"
48,"Masculino",2,"Própria","Poucos recursos","Sem recursos declarados",2134,9,"Carro","Crédito Ruim"
44,"Masculino",2,"Alugada","Altos recursos","Poucos recursos",2647,6,"radio/TV","Crédito Saudável"
48,"Masculino",1,"Alugada","Poucos recursos","Poucos recursos",2241,10,"Carro","Crédito Ruim"
44,"Masculino",2,"Própria","Médios recursos","Médios recursos",1804,12,"Carro","Crédito Saudável"
26,"Masculino",2,"Própria","Sem recursos declarados","Sem recursos declarados",2069,10,"Eletroeletrônicos","Crédito Saudável"
36,"Masculino",1,"Própria","Poucos recursos","Poucos recursos",1374,6,"Eletroeletrônicos","Crédito Saudável"
39,"Masculino",1,"Própria","Poucos recursos","Sem recursos declarados",426,6,"radio/TV","Crédito Saudável"
42,"Feminino",2,"Alugada","Altíssimos recursos","Altíssimos recursos",409,12,"radio/TV","Crédito Saudável"
34,"Masculino",2,"Própria","Poucos recursos","Médios recursos",2415,7,"radio/TV","Crédito Saudável"
63,"Masculino",2,"Própria","Poucos recursos","Poucos recursos",6836,60,"Negócios/Empreender","Crédito Saudável"
36,"Masculino",2,"Própria","Altíssimos recursos","Médios recursos",1913,18,"Negócios/Empreender","Crédito Saudável"
27,"Masculino",2,"Própria","Poucos recursos","Poucos recursos",4020,24,"Eletroeletrônicos","Crédito Saudável"
30,"Masculino",2,"Própria","Médios recursos","Médios recursos",5866,18,"Carro","Crédito Saudável"
57,"Masculino",1,"Alugada","Sem recursos declarados","Sem recursos declarados",1264,12,"Negócios/Empreender","Crédito Saudável"
33,"Feminino",3,"Própria","Poucos recursos","Altíssimos recursos",1474,12,"Eletroeletrônicos","Crédito Saudável"
25,"Masculino",1,"Própria","Poucos recursos","Médios recursos",4746,45,"radio/TV","Crédito Saudável"
31,"Masculino",2,"Cedida","Poucos recursos","Sem recursos declarados",6110,48,"Educação","Crédito Saudável"
37,"Masculino",2,"Própria","Poucos recursos","Altíssimos recursos",2100,18,"radio/TV","Crédito Saudável"
37,"Masculino",2,"Própria","Poucos recursos","Altíssimos recursos",1225,10,"Utensílios domesticos","Crédito Saudável"
24,"Masculino",2,"Própria","Poucos recursos","Médios recursos",458,9,"radio/TV","Crédito Saudável"
30,"Masculino",3,"Própria","Altos recursos","Sem recursos declarados",2333,30,"radio/TV","Crédito Saudável"
26,"Masculino",2,"Própria","Altos recursos","Médios recursos",1158,12,"radio/TV","Crédito Saudável"
44,"Masculino",1,"Própria","Poucos recursos","Médios recursos",6204,18,"Reparos/Reformas","Crédito Saudável"
24,"Masculino",2,"Alugada","Médios recursos","Poucos recursos",6187,30,"Carro","Crédito Saudável"
58,"Feminino",1,"Cedida","Poucos recursos","Poucos recursos",6143,48,"Carro","Crédito Saudável"
35,"Feminino",3,"Própria","Poucos recursos","Sem recursos declarados",1393,11,"Carro","Crédito Saudável"
39,"Masculino",2,"Própria","Altos recursos","Sem recursos declarados",2299,36,"radio/TV","Crédito Saudável"
23,"Feminino",0,"Alugada","Altos recursos","Poucos recursos",1352,6,"Carro","Crédito Saudável"
39,"Masculino",1,"Própria","Poucos recursos","Sem recursos declarados",7228,11,"Carro","Crédito Saudável"
28,"Feminino",2,"Própria","Médios recursos","Sem recursos declarados",2073,12,"radio/TV","Crédito Ruim"
29,"Masculino",1,"Própria","Sem recursos declarados","Médios recursos",2333,24,"Eletroeletrônicos","Crédito Ruim"
30,"Masculino",3,"Própria","Poucos recursos","Médios recursos",5965,27,"Carro","Crédito Saudável"
25,"Masculino",2,"Própria","Poucos recursos","Sem recursos declarados",1262,12,"radio/TV","Crédito Saudável"
31,"Masculino",2,"Própria","Sem recursos declarados","Sem recursos declarados",3378,18,"Carro","Crédito Saudável"
57,"Masculino",2,"Cedida","Poucos recursos","Médios recursos",2225,36,"Carro","Crédito Saudável"
26,"Masculino",1,"Própria","Sem recursos declarados","Sem recursos declarados",783,6,"Carro","Crédito Saudável"
52,"Masculino",3,"Própria","Sem recursos declarados","Médios recursos",6468,12,"radio/TV","Crédito Saudável"
31,"Feminino",2,"Própria","Poucos recursos","Sem recursos declarados",9566,36,"radio/TV","Crédito Saudável"
23,"Feminino",3,"Própria","Poucos recursos","Altíssimos recursos",1961,18,"Carro","Crédito Saudável"
23,"Feminino",1,"Alugada","Poucos recursos","Poucos recursos",6229,36,"Eletroeletrônicos","Crédito Saudável"
27,"Masculino",2,"Própria","Poucos recursos","Médios recursos",1391,9,"Negócios/Empreender","Crédito Saudável"
50,"Masculino",2,"Própria","Sem recursos declarados","Médios recursos",1537,15,"radio/TV","Crédito Saudável"
61,"Masculino",3,"Cedida","Poucos recursos","Médios recursos",1953,36,"Negócios/Empreender","Crédito Saudável"
25,"Masculino",2,"Própria","Poucos recursos","Médios recursos",14421,48,"Negócios/Empreender","Crédito Saudável"
26,"Feminino",2,"Própria","Poucos recursos","Sem recursos declarados",3181,24,"radio/TV","Crédito Saudável"
48,"Masculino",2,"Própria","Sem recursos declarados","Sem recursos declarados",5190,27,"Reparos/Reformas","Crédito Ruim"
29,"Feminino",2,"Própria","Poucos recursos","Sem recursos declarados",2171,12,"radio/TV","Crédito Ruim"
22,"Masculino",2,"Própria","Altíssimos recursos","Médios recursos",1007,12,"Carro","Crédito Saudável"
37,"Masculino",2,"Cedida","Poucos recursos","Sem recursos declarados",1819,36,"Educação","Crédito Saudável"
25,"Feminino",2,"Própria","Sem recursos declarados","Sem recursos declarados",2394,36,"radio/TV","Crédito Saudável"
30,"Feminino",2,"Própria","Poucos recursos","Sem recursos declarados",8133,36,"Carro","Crédito Saudável"
46,"Masculino",1,"Alugada","Sem recursos declarados","Sem recursos declarados",730,7,"radio/TV","Crédito Saudável"
51,"Masculino",3,"Cedida","Poucos recursos","Poucos recursos",1164,8,"Férias/Outros","Crédito Saudável"
41,"Feminino",1,"Própria","Poucos recursos","Médios recursos",5954,42,"Negócios/Empreender","Crédito Saudável"
40,"Masculino",3,"Própria","Sem recursos declarados","Poucos recursos",1977,36,"Educação","Crédito Ruim"
66,"Masculino",3,"Cedida","Poucos recursos","Poucos recursos",1526,12,"Carro","Crédito Saudável"
34,"Masculino",2,"Própria","Poucos recursos","Poucos recursos",3965,42,"radio/TV","Crédito Saudável"
51,"Masculino",2,"Própria","Poucos recursos","Médios recursos",4771,11,"radio/TV","Crédito Saudável"
39,"Masculino",1,"Própria","Sem recursos declarados","Sem recursos declarados",9436,54,"Carro","Crédito Saudável"
22,"Masculino",2,"Própria","Poucos recursos","Médios recursos",3832,30,"Eletroeletrônicos","Crédito Saudável"
44,"Feminino",2,"Própria","Sem recursos declarados","Sem recursos declarados",5943,24,"radio/TV","Crédito Saudável"
47,"Masculino",2,"Própria","Altos recursos","Sem recursos declarados",1213,15,"radio/TV","Crédito Saudável"
24,"Feminino",1,"Alugada","Médios recursos","Sem recursos declarados",1568,18,"Negócios/Empreender","Crédito Saudável"
58,"Feminino",1,"Própria","Poucos recursos","Poucos recursos",1755,24,"Férias/Outros","Crédito Saudável"
52,"Masculino",1,"Própria","Poucos recursos","Poucos recursos",2315,10,"radio/TV","Crédito Saudável"
29,"Feminino",3,"Própria","Poucos recursos","Sem recursos declarados",1412,12,"Negócios/Empreender","Crédito Ruim"
27,"Feminino",2,"Própria","Poucos recursos","Médios recursos",1295,18,"Eletroeletrônicos","Crédito Saudável"
47,"Masculino",2,"Cedida","Médios recursos","Médios recursos",12612,36,"Educação","Crédito Saudável"
30,"Masculino",3,"Própria","Médios recursos","Poucos recursos",2249,18,"Carro","Crédito Saudável"
28,"Masculino",2,"Própria","Poucos recursos","Poucos recursos",1108,12,"Reparos/Reformas","Crédito Ruim"
56,"Masculino",2,"Própria","Poucos recursos","Sem recursos declarados",618,12,"radio/TV","Crédito Saudável"
54,"Masculino",2,"Própria","Poucos recursos","Poucos recursos",1409,12,"Carro","Crédito Saudável"
33,"Feminino",1,"Própria","Sem recursos declarados","Sem recursos declarados",797,12,"radio/TV","Crédito Saudável"
20,"Masculino",2,"Alugada","Sem recursos declarados","Altíssimos recursos",3617,24,"Eletroeletrônicos","Crédito Ruim"
54,"Masculino",2,"Própria","Altíssimos recursos","Médios recursos",1318,12,"Carro","Crédito Saudável"
58,"Masculino",2,"Alugada","Poucos recursos","Médios recursos",15945,54,"Negócios/Empreender","Crédito Saudável"
61,"Feminino",2,"Própria","Sem recursos declarados","Sem recursos declarados",2012,12,"Educação","Crédito Saudável"
34,"Masculino",2,"Própria","Médios recursos","Médios recursos",2622,18,"Negócios/Empreender","Crédito Saudável"
36,"Masculino",2,"Própria","Poucos recursos","Médios recursos",2337,36,"radio/TV","Crédito Saudável"
36,"Masculino",3,"Alugada","Sem recursos declarados","Médios recursos",7057,20,"Carro","Crédito Saudável"
41,"Masculino",1,"Alugada","Médios recursos","Sem recursos declarados",1469,24,"Carro","Crédito Saudável"
24,"Masculino",2,"Alugada","Poucos recursos","Médios recursos",2323,36,"radio/TV","Crédito Saudável"
24,"Feminino",2,"Própria","Poucos recursos","Sem recursos declarados",932,6,"radio/TV","Crédito Saudável"
35,"Masculino",2,"Alugada","Poucos recursos","Médios recursos",1919,9,"Eletroeletrônicos","Crédito Saudável"
26,"Masculino",2,"Alugada","Sem recursos declarados","Sem recursos declarados",2445,12,"Carro","Crédito Saudável"
39,"Masculino",3,"Própria","Poucos recursos","Médios recursos",11938,24,"Férias/Outros","Crédito Saudável"
39,"Masculino",3,"Própria","Poucos recursos","Sem recursos declarados",6458,18,"Carro","Crédito Saudável"
32,"Masculino",2,"Própria","Poucos recursos","Médios recursos",6078,12,"Carro","Crédito Ruim"
30,"Feminino",2,"Própria","Sem recursos declarados","Poucos recursos",7721,24,"Eletroeletrônicos","Crédito Saudável"
